"movieTitle" "movieUrl" "rating"
"128" "被遺忘的新娘" "A Bridefor Rip Van Winkle" 0
"129" "黑白" "Mole Of Life" 0
"130" "功夫熊貓3" "Kung Fu Panda3" 0
"131" "狩獵者: 凜冬之戰" "Huntsman" 8.4
"132" "與森林共舞" "Jungle Book" 6.8
"133" "摩天樓" "High Rise" 7
"134" "美國隊長3" "Captain America3" 0
"135" "科洛弗10號地窖" "10 Cloverfield Lane" 7.3
"136" "飛躍奇蹟" "Eddiethe Eagle" 0
"137" "換腦行動" "Criminal" 6.3
"138" "非死不可" "Friend Request" 5.4
"139" "反擊" "Blackway" 5.1
"140" "非法999" "Triple9" 0
"141" "天眼行動" "Eyeinthe Sky" 0
"142" "暗色天堂" "Heaven Inthe Dark" 0
"143" "格雷的五十道黑影" "Fifty Shadesof Black" 0
"144" "夢遊亞馬遜" "Embraceofthe Serpent" 0
"145" "特工爺爺" "Bodyguard" 4.5
"146" "吸特樂回來了！" "Look Whos Back" 0
"147" "流離者之歌" "Dheepan" 7.2
"148" "大犯罪家" "Clan" 7.9
"149" "那些年狂熱戀情" "My Golden Days" 6.9
"150" "擊劍大師" "Fencer" NA
"151" "性本愛" "Love" 0
"152" "尋秘街拍客" "Finding Vivian Maier" 7.7
"153" "捉妖記" "Monster Hunt" 6.2
"154" "計程人生" "Taxi" 6.9
"155" "路邊野餐" "Kaili Blues" 7.2
"156" "死期大公開" "Brand New Testament" 0
"157" "居住正義" "99 Homes" 7.1
"158" "快樂告別的方法" "Farewell Party" NA
"159" "乳白色的裸女" "Foujita" 6.2
"160" "殘穢: " "Inerasable" 0
"161" "被詛咒的房間" "Inerasable" 0
"162" "為什麼貓都叫不來" "Neko Nanka Yondemo Kona" 0
"163" "愛重逢以後" "Valleyof Love" 0
"164" "蜂狂" "Stung" 5
"165" "失控謊言" "White Lies Black Lies" 0
"166" "情慾莊園" "Eva Braun" 3.4
"167" "惡鄰纏身2" "Neighbors2" 0
"168" "金錢怪獸" "Money Monster" 6.6
"169" "X戰警:" "X- Men Apocalypse" 0
"170" "天啟" "X- Men Apocalypse" 0
"171" "魔境夢遊2" "Alice Throughthe Looking Glass" 0
"172" "幸福百分百" "Mothers Day" NA
"173" "禁愛世界" "Equals" 6.1
"174" "我媽的希臘婚禮" "My Big Fat Greek Wedding2" 0
"175" "安娜華特" "Faithof Anna Waters" 0
"176" "最後一堂課" "Final Lesson" NA
"177" "帝國戰神" "Baahubali The Beginning" 0
"178" "同級生" "Doukyuusei" 7.7
"179" "超狂亨利" "Hardcore" 7
"180" "傻瓜向錢衝" "Two Idiots" 3.6
"181" "崩壞人生" "Demolition" 7
"182" "通靈診療室" "Body" 0
"183" "走音天后" "Florence Foster Jenkins" 7.1
"184" "火星異種" "Terra Formars" 4.9
"185" "魔宮魅影" "Phantomofthe Theatre" 0
"186" "我愛妳,妳愛她" "All About Them" 6.2
