"movieTitle" "englishName" "rating"
"124" "狐仙麗莎煞煞煞" "Liza" NA
"125" "被遺忘的新娘" "A Bride for Rip Van Winkle" 7.4
"126" "黑白" "Mole Of Life" 0
"127" "功夫熊貓3" "Kung Fu Panda 3" 7.2
"128" "狩獵者: 凜冬之戰" "The Huntsman Winter!|s War" 0
"129" "與森林共舞" "The Jungle Book" 7.6
"130" "摩天樓" "High-Rise" 5.7
"131" "美國隊長3" "Captain America 3: Civil War" 0
"132" "科洛弗10號地窖" "10 Cloverfield Lane" 7.3
"133" "飛躍奇蹟" "Eddie the Eagle" 7.4
"134" "換腦行動" "Criminal" 6.3
"135" "非死不可" "Friend Request" 5.4
"136" "反擊" "Blackway" 5.1
"137" "非法999" "Triple 9" 6.3
"138" "天眼行動" "Eye in the Sky" 7.3
"139" "暗色天堂" "Heaven In the Dark" 0
"140" "格雷的五十道黑影" "Fifty Shades of Black" 3.5
"141" "夢遊亞馬遜" "Embrace of the Serpent" 8
"142" "特工爺爺" "The Bodyguard" 6.1
"143" "吸特樂回來了！" "Look Who's Back" 7.1
"144" "流離者之歌" "Dheepan" 7.2
"145" "大犯罪家" "The Clan" 7
"146" "那些年狂熱戀情" "My Golden Days" 6.9
"147" "擊劍大師" "The Fencer" 7.3
"148" "性本愛" "Love" 0
"149" "尋秘街拍客" "Finding Vivian Maier" 7.7
"150" "捉妖記" "Monster Hunt" 6.2
"151" "計程人生" "Taxi" 6.9
"152" "路邊野餐" "Kaili Blues" 7.2
"153" "死期大公開" "The Brand New Testament" 7.2
"154" "居住正義" "99 Homes" 7.1
"155" "快樂告別的方法" "The Farewell Party" 7.1
"156" "乳白色的裸女" "Foujita" 6.2
"157" "殘穢: 被詛咒的房間" "The Inerasable" 6
"158" "為什麼貓都叫不來" "Neko Nanka Yondemo Kona" 0
"159" "愛重逢以後" "Valley of Love" 5.7
"160" "蜂狂" "Stung" 5
"161" "失控謊言" "White Lies" NA
"162" "情慾莊園" "Eva Braun" 3.4
"163" "惡鄰纏身2" "Neighbors 2: Sorority Rising" 5.8
"164" "金錢怪獸" "Money Monster" 6.6
"165" "X戰警:天啟" "X-Men: Apocalypse" 7.2
"166" "魔境夢遊2" "Alice Through the Looking Glass" 6.3
"167" "幸福百分百" "Mother's Day" 5.6
"168" "禁愛世界" "Equals" 6.1
"169" "我媽的希臘婚禮" "My Big Fat Greek Wedding 2" 6.1
"170" "安娜華特" "The Faith of Anna Waters" 3.8
"171" "最後一堂課" "The Final Lesson" 6.5
"172" "帝國戰神" "Baahubali: The Beginning" 8.4
"173" "同級生" "Doukyuusei" 7.7
"174" "超狂亨利" "Hardcore Henry" 6.8
"175" "傻瓜向錢衝" "Two Idiots" 3.6
"176" "崩壞人生" "Demolition" 7
"177" "通靈診療室" "Body" 0
"178" "走音天后" "Florence Foster Jenkins" 7
"179" "火星異種" "Terra Formars" 4.9
"180" "魔宮魅影" "Phantom of the Theatre" 5.2
"181" "我愛妳" "" NA
"182" "天才無限家" "The Man Who Knew Infinity" 7.2
"183" "愛" "" NA
"184" "真愛有夠殺" "Mr. Right" 6.3
"185" "羊男的冰島冒險" "Rams" 7.4
"186" "瘋狂假面2" "HK: Forbidden Super Hero The Abnormal Crisis" 0
"187" "北京遇上西雅圖之不二情書" "Book Of Love" 0
"188" "麥田書香" "Ever Been to the Moon" 0
"189" "愛人怪物" "Closet Monster" 7.3
"190" "西西里的漫長等待" "The Wait" 4.7
"191" "帝國毀滅: 關鍵13分鐘" "13 Minutes" 7
"192" "魔物戀人" "Spring" 6.7
"193" "特務超級爸" "Spy Time" 6.1
"194" "忍者龜2: 破影而出" "Teenage Mutant Ninja Turtles: Out of the Shadows" 6
"195" "厲陰宅2" "The Conjuring 2" 7.5
"196" "假會徵信社" "The Nice Guys" 7.4
"197" "ID4星際終結者2" "Independence Day 2: Resurgence" 0
"198" "俺物語!!" "My Love Story!!" 7.8
"199" "魔獸:崛起" "Warcraft" 0
"200" "我就要你好好的" "Me Before You" 7.5
"201" "下女的誘惑" "The Handmaiden" 8.1
"202" "信長協奏曲" "Nobunaga Concerto: The Movie" 6.2
"203" "出神入化2" "Now You See Me: The Second Act" 0
"204" "梭哈人生" "A Hologram for the King" 6.1
"205" "萌學園:尋找磐古" "The M Riders Finding Pangu" 0
"206" "夢碎天堂" "The Paradise Suite" 7.3
"207" "憤怒鳥玩電影" "Angry Birds" 7.2
"208" "搖滾青春戀習曲" "Sing Street" 8
"209" "傷物語: <U+9244>血篇" "Kizumonogatari: I Tekketsu-hen" 0
"210" "深海逃脫" "Pressure" 5.7
"211" "師父" "The Final Master" 7.3
"212" "運河怪談" "The Canal" 5.9
"213" "世界之庭" "Dare to Be Wild" 6.5
"214" "遠方禁戀" "From Afar" 6.9
"215" "殺人一舉" "The Act of Killing" 8.2
"216" "春色蕩漾" "Swung" 4.4
"217" "沉默一瞬" "The Look of Silence" 8.3
"218" "水手服與機關槍" "Sailor Suit and Machine Gun: Graduation" 5
"219" "漢娜鄂蘭─思想的行動" "Vita Activa: The Spirit of Hannah Arendt" 7.6
"220" "泰山傳奇" "The Legend of Tarzan" 6.4
"221" "寒戰2" "Cold War 2" NA
"222" "魔鬼剋星" "Ghostbusters" 7.8
"223" "星際爭霸戰3" "Star Trek Beyond" 7.2
"224" "神鬼認證5" "Jason Bourne" 6.7
"225" "寵物當家" "The Secret Life of Pets" 6.6
"226" "海底總動員2" "Finding Dory" 7.5
"227" "中央情爆員" "Central Intelligence" 6.4
"228" "冰原歷險記5" "Ice Age: Collision Course" 5.7
"229" "極樂宿舍" "Happy Dorm" NA
"230" "鬼撕眠" "Before I Wake" 6.1
"231" "國定殺戮日3" "The Purge: Election Year" 6
"232" "舞力重擊" "High Strung" 6.5
"233" "鬼關燈" "Lights Out" 6.4
"234" "阿姐萬萬醉" "Bad Moms" 6.3
