movieTitle,pttPopularity
魔詭,5
鬼打牆,8
插旗攻城市,3
我的蛋男情人,22
S風暴,1
報告班長7,9
納粹龐克,2
代號: 鐵鉻行動,1
非普通型男,2
殿下萬萬稅,7
藥命真相,1
明天別再來敲門,20
Lady's 尖頭們,0
愛與黑暗的故事,8
白晝之雨,5
比海還深,32
吸血鬼腥靈診療,1
最後一次自由,3
NY單身日記,9
性愛巴弒,1
超自然研究會,2
遊戲王:次元的黑暗面,1
時空叛逃者,6
大藝術家與我,1
天才柏金斯,9
甜蜜的哀傷,1
植物圖鑑,2
送子鳥,13
會計師,134
神隱任務2,15
奇異博士,274
怒火地平線,39
地獄,126
碟仙2,1
獵愛大臨演,0
湄公河行動,11
時尚帝國合約的開始,2
起源:首爾車站,1
鬼才要畢業,4
為妳說的謊,14
巴黎走音天后,14
你的名字,633
愛是一隻貓,3
絕地7騎士,19
神廚東京壯遊記,6
鬼開門,4
幸運是我,5
列車上的女孩,14
完美陌生人,22
德布西森林,14
我的型男老闆,8
重返心原點,6
怒,180
美國心風暴,5
已經很想妳,4
笨賊樂盜家,3
