,movieTitle,englishName,rating
148,特工爺爺,The Bodyguard,6.1
149,吸特樂回來了！,Look Who's Back,7.1
150,流離者之歌,Dheepan,7.2
151,大犯罪家,The Clan,7
152,那些年狂熱戀情,My Golden Days,6.9
153,擊劍大師,The Fencer,7.3
154,性本愛,Love,0
155,尋秘街拍客,Finding Vivian Maier ,0
156,捉妖記,Monster Hunt,6.2
157,計程人生,Taxi,6.9
158,路邊野餐,Kaili Blues,7.2
159,死期大公開,The Brand New Testament,7.2
160,居住正義,99 Homes   ,0
161,快樂告別的方法,The Farewell Party,7.1
162,乳白色的裸女,Foujita,6.2
163,殘穢: ,The Inerasable,6
164,被詛咒的房間,The Inerasable,6
165,為什麼貓都叫不來,Neko Nanka Yondemo Kona,0
166,愛重逢以後,Valley of Love,5.7
167,蜂狂,Stung,5
168,失控謊言,White Lies,
169,情慾莊園,Eva Braun,3.4
170,惡鄰纏身2,Neighbors 2: Sorority Rising ,0
171,金錢怪獸,Money Monster,6.6
172,X戰警:,X-Men: Apocalypse,7.2
173,天啟,X-Men: Apocalypse,7.2
174,魔境夢遊2,Alice Through the Looking Glass ,0
175,幸福百分百,Mother's Day,5.6
176,禁愛世界,Equals,6.1
177,我媽的希臘婚禮,My Big Fat Greek Wedding 2,6.1
178,安娜華特,The Faith of Anna Waters,3.8
179,最後一堂課,The Final Lesson,6.5
180,帝國戰神,Baahubali: The Beginning,8.4
181,同級生,Doukyuusei,7.7
182,超狂亨利,Hardcore Henry ,0
183,傻瓜向錢衝,Two Idiots,3.6
184,崩壞人生,Demolition,7
185,通靈診療室,Body,0
186,走音天后,Florence Foster Jenkins  ,0
187,火星異種,Terra Formars,4.9
188,魔宮魅影,Phantom of the Theatre,5.2
189,我愛妳,,
190,天才無限家,The Man Who Knew Infinity ,0
191,愛,,
192,真愛有夠殺,Mr. Right  ,0
193,羊男的冰島冒險,Rams,7.4
194,瘋狂假面2,HK: Forbidden Super Hero The Abnormal Crisis,0
195,北京遇上西雅圖之不二情書,Book Of Love,0
196,麥田書香,Ever Been to the Moon,0
197,愛人怪物,Closet Monster,7.3
198,西西里的漫長等待,The Wait,4.7
199,帝國毀滅: 關鍵13分鐘,13 Minutes,7
200,魔物戀人,Spring,6.7
201,特務超級爸,Spy Time,6.1
202,忍者龜2: ,Teenage Mutant Ninja Turtles: Out of the Shadows,6
203,破影而出,Teenage Mutant Ninja Turtles: Out of the Shadows,6
204,厲陰宅2,The Conjuring 2,7.5
205,假會徵信社,The Nice Guys,7.4
206,ID4星際終結者2,Independence Day 2: Resurgence,0
207,俺物語!!,My Love Story!!,7.8
208,魔獸:崛起,Warcraft,0
209,我就要你好好的,Me Before You,7.5
210,下女的誘惑,The Handmaiden  ,0
211,信長協奏曲,Nobunaga Concerto: The Movie  ,0
212,出神入化2,Now You See Me: The Second Act,0
213,梭哈人生,A Hologram for the King  ,0
214,萌學園:尋找磐古,The M Riders Finding Pangu,0
215,夢碎天堂,The Paradise Suite ,0
216,憤怒鳥玩電影,Angry Birds,7.2
217,搖滾青春戀習曲,Sing Street,8
218,傷物語: <U+9244>血篇,Kizumonogatari: I Tekketsu-hen ,0
219,深海逃脫,Pressure ,0
220,師父,The Final Master,7.3
221,運河怪談,The Canal,5.9
222,世界之庭,Dare to Be Wild ,0
223,遠方禁戀,From Afar,6.9
224,殺人一舉,The Act of Killing ,0
225,春色蕩漾,Swung,4.4
226,沉默一瞬,The Look of Silence,8.3
227,水手服與機關槍,Sailor Suit and Machine Gun: Graduation,5
228,漢娜鄂蘭,Vita Activa: The Spirit of Hannah Arendt,7.6
229,─思想的行動,Vita Activa: The Spirit of Hannah Arendt,7.6
230,泰山傳奇,The Legend of Tarzan,6.4
231,寒戰2,Cold War 2,NA
232,魔鬼剋星,Ghostbusters,7.8
233,星際爭霸戰3,Star Trek Beyond,7.2
234,神鬼認證5,Jason Bourne,6.7
235,寵物當家,The Secret Life of Pets  ,0
236,海底總動員2,Finding Dory,7.5
237,中央情爆員,Central Intelligence  ,0
238,冰原歷險記5,Ice Age: Collision Course ,0
239,極樂宿舍,Happy Dorm,NA
240,鬼撕眠,Before I Wake,6.1
241,國定殺戮日3,The Purge: Election Year,6
242,舞力重擊,High Strung ,0
243,鬼關燈,Lights Out ,0
244,阿姐萬萬醉,Bad Moms,6.3
245,哆啦A夢2016,36th Doraemon the Movie: Nobita and the Birth of Japan 2016,0
246,恐怖鄰人,Creepy,6.4
247,暗殺教室2,Assassination Classroom 2,0
248,異次元凶間,The Diabolical,4.7
249,名偵探柯南20,Detective Conan: The Darkest Nightmare,7.3
250,女人沉睡時,While the Women Are Sleeping ,0
251,六弄咖啡館,At Cafe 6,0
252,蝙蝠俠: 致命玩笑,Batman: The Killing Joke ,0
253,最酷的一天,The Most Beautiful Day ,0
254,大同,The Chinese Mayor ,0
255,愛情未來,Things to Come,6.7
256,夏日情事,This Summer Feeling,6.9
257,歡迎來到美國,UMRIKA,0
258,家有洛洛,Lolo,5.7
259,變裝皇后萬萬歲,Viva  ,0
260,狂虐性告白,Wild In Blue ,0
261,沉默茱麗葉,Julieta,7.1
262,不只是閨蜜,Me,
263,山河故人,Mountains May Depart,6.8
264,自殺突擊隊,Suicide Squad,6.5
265,吹夢巨人,The BFG,6.5
266,賓漢,Ben-Hur ,0
267,極速秒殺2,Mechanic: Resurrection,5.6
268,妮嘉,Neerja,7.9
269,樓下的房客,The Tenants Downstairs,NA
270,絕鯊島,The Shallows  ,0
271,危城,Call Of Heroes,0
272,我的哈比情人,Up for Love,6.3
273,正宗哥吉拉,Godzilla Resurgence  ,0
274,酷寶: 魔弦傳說,Kubo and the Two Strings,8
275,火線掏寶,War Dogs ,0
276,命懸生死線,Life on the Line,5.2
277,科技浩劫,Cell,4.3
278,大顯神威,The Big Power,0
279,咖啡愛情,Cafe Society ,0
280,貞子<U+202C> VS <U+202A>伽椰子,Sadako vs Kayako,0
281,封神傳奇,League of Gods,4.5
282,航海王電影Gold,One Piece Film Gold  ,0
