movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
鬼撕眠,Before I Wake,6.1,9,1,4
國定殺戮日3,The Purge: Election Year,6,10,3,2
舞力重擊,High Strung,6.5,3,1,0
鬼關燈,Lights Out,6.4,38,14,2
阿姐萬萬醉,Bad Moms,6.3,12,3,0
哆啦A夢2016,36th Doraemon the Movie: Nobita and the Birth of Japan 2016,0,0,0,0
恐怖鄰人,Creepy,6.4,9,3,6
暗殺教室2,Assassination Classroom 2,0,0,0,0
異次元凶間,The Diabolical,4.7,1,0,0
名偵探柯南20,Detective Conan: The Darkest Nightmare,7.3,0,0,0
女人沉睡時,While the Women Are Sleeping,6,2,0,2
六弄咖啡館,At Cafe 6,0,126,39,30
蝙蝠俠: 致命玩笑,Batman: The Killing Joke,6.6,1,1,0
最酷的一天,The Most Beautiful Day,6.9,7,4,0
大同,The Chinese Mayor,7.4,15,5,0
愛情未來,Things to Come,6.7,7,2,0
夏日情事,This Summer Feeling,6.9,1,1,0
歡迎來到美國,UMRIKA,0,5,1,0
家有洛洛,Lolo,5.7,4,2,0
變裝皇后萬萬歲,Viva,0,6,4,0
狂虐性告白,Wild In Blue,0,1,0,0
沉默茱麗葉,Julieta,7.1,1,0,0
不只是閨蜜,Me,NA,5,0,0
山河故人,Mountains May Depart,6.8,6,4,0
自殺突擊隊,Suicide Squad,6.5,386,58,112
吹夢巨人,The BFG,6.5,9,1,2
賓漢,Ben-Hur,8.1,27,10,4
極速秒殺2,Mechanic: Resurrection,5.6,19,3,10
妮嘉,Neerja,7.9,18,15,0
樓下的房客,The Tenants Downstairs,NA,243,79,78
絕鯊島,The Shallows,6.4,29,13,2
危城,Call Of Heroes,0,27,6,2
我的哈比情人,Up for Love,6.3,2,1,0
正宗哥吉拉,Godzilla Resurgence,0,92,48,4
酷寶: 魔弦傳說,Kubo and the Two Strings,8,0,0,0
火線掏寶,War Dogs,7.2,17,6,0
命懸生死線,Life on the Line,5.2,3,1,0
科技浩劫,Cell,4.3,8,1,2
大顯神威,The Big Power,0,9,0,2
咖啡愛情,Cafe Society,6.7,12,6,2
貞子<U+202C> VS <U+202A>伽椰子,Sadako vs Kayako,0,0,0,0
封神傳奇,League of Gods,4.5,8,0,6
航海王電影Gold,One Piece Film Gold,8.1,0,0,0
霓虹惡魔,The Neon Demon,6.3,10,2,4
蠟筆小新: 爆睡!,Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault,0,0,0,0
丹麥共居生活,The Commune,6.6,1,0,0
醉後之旅,Saint Amour,6.3,1,0,0
進擊的摔角男孩,Young Wrestlers,6.8,2,0,2
電影版櫻桃小丸子,CHIBI MARUKO CHAN: a boy from Italy,0,9,1,2
哭聲,The Wailing,7.5,78,24,12
大審判家,The People vs. Fritz Bauer,7.2,5,2,0
暴亂夜,'71,7.2,1,0,0
從好久以前就喜歡你,I!|ve always liked you -Confess Your Love Committee-Part 1,0,1,0,2
零日網路戰,Zero Days,7.8,1,1,0
聽見愛你的聲音,Loev,6.6,1,0,0
地獄哪有那麼HIGH,Too Young to Die,7.7,8,4,0
十年,Ten Years,7.3,78,16,2
我出去一下,I'm Off Then,6.2,12,5,0
如果這世界貓消失了,If Cats Disappeared from the World,7.4,33,19,6
瘋狂邁爾士,Miles Ahead,6.5,3,1,0
推銷員之戀,Hedi,7.1,4,2,0
變蟲人,Bite,4.9,2,0,2
攻佔羅浮宮,Francofonia,6.6,3,0,0
愛情天文學,Correspondence,5.9,13,3,4
賞金獵人,Bounty Hunters,3.8,4,0,0
我的老爸喵星人,Nine Lives,5.2,8,4,2
婚禮玩很大,Mike and Dave Need Wedding Dates,6,3,0,0
BJ有喜,Bridget Jone's Baby,0,26,14,0
神鬼駭客:史諾登,Snowden,7.4,0,0,0
怪奇孤兒院,Miss Peregrine's Home for Peculiar Children,7,77,25,14
蘇珊夫人尋婚計,Love & Friendship,6.6,6,3,0
玩命直播,Nerve,6.7,28,9,0
終極飆靶,Precious Cargo,4.6,7,1,0
赴湯蹈火,Hell Or High Water,0,12,10,0
暫時停止呼吸,Don't Breathe,7.2,49,22,12
屍速列車,,0,890,210,144
薩利機長,Sully,7.7,76,41,4
使徒行者,Line Walker,6.1,26,12,0
終極舞班,Battle Of<U+00A0>Hip Hopera,0,4,0,2
特厲鬼屋,Abattoir,4.5,6,0,10
魔詭,Morgan,5.8,5,0,4
鬼打牆,Take me home,0,8,2,0
插旗攻城市,Where to Invade Next,7.6,3,1,0
我的蛋男情人,My Egg Boy,NA,22,7,14
S風暴,S Storm,4.8,1,0,0
報告班長7,No Sir,0,9,1,4
納粹龐克,Green Room,7.1,2,1,0
代號: 鐵鉻行動,Operation Chromite,6.4,1,1,0
非普通型男,Chevalier,6.6,2,1,0
殿下萬萬稅,The Magnificent Nine,6.6,7,2,0
藥命真相,Misconduct,5.3,1,0,2
明天別再來敲門,A Man Called Ove,7.6,20,12,0
Lady's 尖頭們,Free the Nipple,3.8,0,0,0
愛與黑暗的故事,A Tale of Love and Darkness,6.2,8,3,2
白晝之雨,Himeanole,7.6,5,3,0
比海還深,After the Storm,7.8,32,20,0
吸血鬼腥靈診療,Therapy for a Vampire,6.4,1,0,0
最後一次自由,Desierto,5.8,3,0,0
