movieTitle	englishName
忍者龜2: 破影而出	Teenage Mutant Ninja Turtles: Out of the Shadows
厲陰宅2	The Conjuring 2
假會徵信社	The Nice Guys
ID4星際終結者2	Independence Day 2: Resurgence
俺物語!!	My Love Story!!
魔獸:崛起	Warcraft
我就要你好好的	Me Before You
下女的誘惑	The Handmaiden
信長協奏曲	Nobunaga Concerto: The Movie
出神入化2	Now You See Me: The Second Act
梭哈人生	A Hologram for the King
萌學園:尋找磐古	The M Riders Finding Pangu
夢碎天堂	The Paradise Suite
憤怒鳥玩電影	Angry Birds
搖滾青春戀習曲	Sing Street
傷物語: <U+9244>血篇	Kizumonogatari: I Tekketsu-hen
深海逃脫	Pressure
師父	The Final Master
運河怪談	The Canal
世界之庭	Dare to Be Wild
遠方禁戀	From Afar
殺人一舉	The Act of Killing
春色蕩漾	Swung
沉默一瞬	The Look of Silence
水手服與機關槍	Sailor Suit and Machine Gun: Graduation
漢娜鄂蘭─思想的行動	Vita Activa: The Spirit of Hannah Arendt
泰山傳奇	The Legend of Tarzan
寒戰2	Cold War 2
魔鬼剋星	Ghostbusters
星際爭霸戰3	Star Trek Beyond
神鬼認證5	Jason Bourne
寵物當家	The Secret Life of Pets
海底總動員2	Finding Dory
中央情爆員	Central Intelligence
冰原歷險記5	Ice Age: Collision Course
極樂宿舍	Happy Dorm
鬼撕眠	Before I Wake
國定殺戮日3	The Purge: Election Year
舞力重擊	High Strung
鬼關燈	Lights Out
阿姐萬萬醉	Bad Moms
哆啦A夢2016	36th Doraemon the Movie: Nobita and the Birth of Japan 2016
恐怖鄰人	Creepy
暗殺教室2	Assassination Classroom 2
異次元凶間	The Diabolical
名偵探柯南20	Detective Conan: The Darkest Nightmare
女人沉睡時	While the Women Are Sleeping
六弄咖啡館	At Cafe 6
蝙蝠俠: 致命玩笑	Batman: The Killing Joke
最酷的一天	The Most Beautiful Day
大同	The Chinese Mayor
愛情未來	Things to Come
夏日情事	This Summer Feeling
歡迎來到美國	UMRIKA
家有洛洛	Lolo
變裝皇后萬萬歲	Viva
狂虐性告白	Wild In Blue
沉默茱麗葉	Julieta
不只是閨蜜	Me
山河故人	Mountains May Depart
自殺突擊隊	Suicide Squad
吹夢巨人	The BFG
賓漢	Ben-Hur
極速秒殺2	Mechanic: Resurrection
妮嘉	Neerja
樓下的房客	The Tenants Downstairs
絕鯊島	The Shallows
危城	Call Of Heroes
我的哈比情人	Up for Love
正宗哥吉拉	Godzilla Resurgence
酷寶: 魔弦傳說	Kubo and the Two Strings
火線掏寶	War Dogs
命懸生死線	Life on the Line
科技浩劫	Cell
大顯神威	The Big Power
咖啡愛情	Cafe Society
貞子<U+202C> VS <U+202A>伽椰子	Sadako vs Kayako
封神傳奇	League of Gods
航海王電影Gold	One Piece Film Gold
霓虹惡魔	The Neon Demon
蠟筆小新: 爆睡!	Crayon Shin-chan: Fast Asleep! Dreaming World Big Assault
丹麥共居生活	The Commune
醉後之旅	Saint Amour
進擊的摔角男孩	Young Wrestlers
電影版櫻桃小丸子	CHIBI MARUKO CHAN: a boy from Italy
哭聲	The Wailing
大審判家	The People vs. Fritz Bauer
暴亂夜	'71
