id,rating,pop
怪奇孤兒院,7,77
蘇珊夫人尋婚計,6.6,6
玩命直播,6.7,28
終極飆靶,4.6,7
暫時停止呼吸,7.2,49
薩利機長,7.7,76
使徒行者,6.1,26
特厲鬼屋,4.5,6
魔詭,5.8,5
插旗攻城市,7.6,3
S風暴,4.8,1
納粹龐克,7.1,2
代號: 鐵鉻行動,6.4,1
非普通型男,6.6,2
殿下萬萬稅,6.6,7
藥命真相,5.3,1
明天別再來敲門,7.6,20
Lady's 尖頭們,3.8,0
愛與黑暗的故事,6.2,8
白晝之雨,7.6,5
比海還深,7.8,32
吸血鬼腥靈診療,6.4,1
最後一次自由,5.8,3
NY單身日記,6.3,9
遊戲王:次元的黑暗面,8.3,1
大藝術家與我,6.9,1
天才柏金斯,6.6,9
甜蜜的哀傷,6,1
送子鳥,7,13
會計師,7.6,134
奇異博士,7.9,274
怒火地平線,7.5,39
地獄,6.3,126
湄公河行動,7,11
時尚帝國合約的開始,5.8,2
起源:首爾車站,6,1
為妳說的謊,7.2,14
巴黎走音天后,7,14
你的名字,8.9,633
愛是一隻貓,5.3,3
絕地7騎士,7.8,19
鬼開門,4.1,4
幸運是我,7.8,5
列車上的女孩,6.7,14
完美陌生人,7.7,22
德布西森林,7.3,14
我的型男老闆,6.5,8
重返心原點,6.4,6
怒,5,180
美國心風暴,6.2,5
已經很想妳,6.7,4
笨賊樂盜家,5.7,3
